	name	mz	RT	HU_pos_001	HU_pos_007	HU_pos_013	HU_pos_022	HU_pos_040	HU_pos_050	HU_pos_060	HU_pos_081	HU_pos_086	HU_pos_116	HU_pos_124	HU_pos_140	HU_pos_145	HU_pos_162	HU_pos_183	HU_pos_188b	HU_pos_189b	HU_pos_189	HU_pos_192b	HU_pos_193b	HU_pos_204b	HU_pos_205b	HU_pos_213	HU_pos_214	HU_pos_224
832	M162T54_2	162.2024451	54.49731857	0	2863464.051	0	0	0	0	381485.543	0	357686.7018	0	0	0	0	2008353.286	678533.2533	0	0	0	1281883.29	0	0	413146.9785	204620.6001	0	683028.217
833	M162T349_4	162.2730723	348.7341086	1172667.766	5563251.731	0	2390633.755	921767.8274	2653207.513	2122452.596	843954.7494	5200773.754	331742.0407	2799433.764	0	1943912.203	10147483.54	357992.5211	214723.3059	885244.6504	733677.8696	980890.3558	0	6048131.823	0	0	4171730.194	0
834	M162T54_3	162.3296045	54.49513526	0	3506790.243	0	0	0	0	693583.4096	0	408228.7004	0	0	0	0	1678964.201	788211.5338	0	0	0	1944698.698	0	0	0	494932.3285	0	775973.5834
835	M163T453	162.5362537	453.3339731	194955.6208	289357.527	0	0	0	0	0	294655.2312	199700.5461	0	0	0	0	0	0	2360385.249	5118144.637	3469838.661	474078.8887	797095.8046	0	301895.7845	0	0	0
836	M163T386	162.546342	385.9115248	0	2555020.925	0	400033.6054	310696.7781	678297.6306	0	459504.5071	1449028.653	220068.3185	450103.6266	0	0	488209.7947	0	108062.0343	0	0	0	0	0	0	0	735376.9014	0
837	M163T269	162.5542632	268.6177714	1363175.879	3080531.587	1744512.86	837114.7077	10418143.76	602575.8276	2723657.092	11575008.06	2861929.63	809002.2297	3575400.302	1845582.776	0	0	443742.346	634905.3733	1035756.611	123366.1745	0	182662.2838	0	0	0	0	0
838	M163T370	162.5651874	369.5459463	7153597.741	7434525.627	4827715.634	1153980.471	2884424.323	1388210.256	910630.3199	2814226.773	2358270.375	2174178.129	2953732.226	7294763.715	99493.13821	1741665.68	159371.9238	644890.5832	783552.4403	305852.077	854438.6069	198234.7372	872771.6066	1541072.318	225799.3782	0	0
839	M163T349	163.0589398	349.1963894	13894584.34	42599515.26	8100369.01	26913055.83	18076151.89	27193547.05	22068846.51	15652800.31	43194245.68	10004557.57	26961966.24	3333851.07	14092795.33	61671698.38	9080634.086	9474182.538	14995888.15	8767842.383	17475622.76	7027770.162	39520477.2	18300282.36	1639314.671	27944453.64	215170.8735
840	M163T389	163.075407	388.7147562	2896651.466	16207916.26	3634195.986	6231949.24	3803015.513	6844921.946	4887391.417	4027376.172	11828988.11	1848859.673	6646685.763	1125069.128	8244299.029	7890669.041	1810692.118	1848854.873	9730295.068	4345233.098	12611513.4	5204174.195	15567602.35	6992624.523	2397687.957	809030.0127	153547.2929
841	M163T409	163.0753937	409.1508991	2047582.821	2748599.029	1630651.324	6199473.744	741224.7053	4139355.281	7147384.205	30226475.92	10539348.68	2292995.84	5537565.28	2900573.923	1600657.754	5625900.666	1082833.836	805313.8286	3609817.776	1385074.834	0	4591056.624	6727871.162	873944.3715	0	755137.2175	0
842	M163T496	163.07543	495.6096305	0	3906846.651	8844040.331	4464983.155	755819.5137	5291135.11	622979.2153	3381507.503	8108028.663	471990.2501	3394899.951	0	1377700.924	2302511.65	600670.3204	169762.7782	924723.0542	0	724003.1162	3107225.217	1862154.064	2170624.855	0	138468.3094	0
